cost,SR,operation_time,time
202.0,-96.66236328125001,0.0007872581481933594,0.0065386295318603516
207.0,-96.66236328125001,0.0011911392211914062,0.010756731033325195
212.0,-96.66236328125001,0.0008115768432617188,0.011651039123535156
217.0,-96.66236328125001,0.0010411739349365234,0.009843587875366211
222.0,-96.66236328125001,0.0007517337799072266,0.012831687927246094
227.0,-96.66236328125001,0.0011832714080810547,0.015784025192260742
236.0,-96.66236328125001,0.0008256435394287109,0.00839543342590332
244.0,-96.94214843750001,0.0013146400451660156,0.011383771896362305
253.0,-96.94214843750001,0.0008072853088378906,0.0502932071685791
262.0,-107.34083007812501,0.0007884502410888672,0.03661394119262695
271.0,-109.11683105468751,0.000804901123046875,0.011745452880859375
280.0,-109.11683105468751,0.0008389949798583984,0.009792566299438477
288.0,-109.11683105468751,0.0013310909271240234,0.010442018508911133
297.0,-109.11683105468751,0.001211404800415039,0.024388551712036133
306.0,-109.11683105468751,0.0010418891906738281,0.014882087707519531
310.0,-109.11683105468751,0.0008625984191894531,0.012865066528320312
319.0,-109.11683105468751,0.0012481212615966797,0.028589725494384766
328.0,-109.11683105468751,0.0009224414825439453,0.013022899627685547
337.0,-109.11683105468751,0.0011186599731445312,0.01361989974975586
346.0,-109.11683105468751,0.0008711814880371094,0.008730888366699219
355.0,-109.11683105468751,0.000911712646484375,0.008948087692260742
364.0,-109.11683105468751,0.001310110092163086,0.0085906982421875
373.0,-109.86750244140626,0.0007944107055664062,0.011066436767578125
382.0,-110.32270263671876,0.0012364387512207031,0.009633779525756836
389.0,-110.32270263671876,0.0009310245513916016,0.0327608585357666
397.0,-110.32270263671876,0.0007884502410888672,0.009334087371826172
404.0,-110.52649902343751,0.0007801055908203125,0.009672880172729492
407.0,-110.52649902343751,0.0008106231689453125,0.00844430923461914
415.0,-110.52649902343751,0.001188039779663086,0.012344598770141602
421.0,-118.95197509765626,0.0007810592651367188,0.011637449264526367
430.0,-118.95197509765626,0.0013399124145507812,0.011278629302978516
439.0,-122.12964843750001,0.0018706321716308594,0.010625839233398438
448.0,-122.12964843750001,0.0014522075653076172,0.010072469711303711
457.0,-122.12964843750001,0.0014545917510986328,0.009939193725585938
466.0,-122.12964843750001,0.0008792877197265625,0.016606807708740234
474.0,-122.12964843750001,0.0015630722045898438,0.010344505310058594
483.0,-122.12964843750001,0.0010998249053955078,0.009205341339111328
492.0,-122.12964843750001,0.0008938312530517578,0.012872695922851562
501.0,-123.68519042968751,0.0018041133880615234,0.00816655158996582
510.0,-123.93226074218751,0.0018112659454345703,0.011846065521240234
519.0,-123.93226074218751,0.001781463623046875,0.013049125671386719
